Id,PcsId,StageId,StageRaceId,StageRace,Name,RaceDate,RaceType,Distance,Elevation,Duration,Status,ProfileImageUrl,PointsScale,UciScale,ParcoursType,ProfileScore,RaceRanking,StartlistQuality,DecidingMethod,Classification,Category,PcsUrl,WcsUrl,PointsRetrieved,ResultsRetrieved,StartListRetrieved,DetailsCompleted,GameOrganized,Error,Updated
tour-of-malopolska/2025/stage-2,tour-of-malopolska/2025/stage-2,stage-2,tour-of-malopolska/2025,0,Stage 2 |  -,2025-06-06 00:00:00.000,NULL,0,NULL,NULL,Planned,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,NULL
tour-of-malopolska/2025/stage-3,tour-of-malopolska/2025/stage-3,stage-3,tour-of-malopolska/2025,0,Stage 3 |  -,2025-06-07 00:00:00.000,NULL,0,NULL,NULL,Planned,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,NULL
tour-of-malopolska/2025/stage-4,tour-of-malopolska/2025/stage-4,stage-4,tour-of-malopolska/2025,0,Stage 4 |  -,2025-06-08 00:00:00.000,NULL,0,NULL,NULL,Planned,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,NULL
tour-of-mersin/2024,NULL,NULL,NULL,1,Tour of Mersin,NULL,NULL,NULL,NULL,NULL,Finished,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,1,NULL,NULL,NULL
tour-of-mersin/2024/stage-1,tour-of-mersin/2024/stage-1,stage-1,tour-of-mersin/2024,1,Stage 1 | Anamur - Yanışlı,2024-04-04 00:00:00.000,Multi-day race,102,1332,NULL,Finished,https://www.procyclingstats.com/images/profiles/ca/db/tour-of-mersin-2024-stage-1-profile.jpg,2.2.Stage,UCI.WR.2.Stage,2,120,205,25,?-letusknow!,2.2,ME - Men Elite,https://www.procyclingstats.com/race/tour-of-mersin/2024/stage-1,https://www.worldcyclingstats.com/en/race/tour-of-mersin/2024/stage-1,0,0,0,1,NULL,NULL,2025-01-28 14:27:31.3328320
tour-of-mersin/2024/stage-2,tour-of-mersin/2024/stage-2,stage-2,tour-of-mersin/2024,1,Stage 2 | Gülnar - Mersin (Soli Pompeipolis),2024-04-05 00:00:00.000,Multi-day race,153,1424,NULL,Finished,https://www.procyclingstats.com/images/profiles/ca/fc/tour-of-mersin-2024-stage-2-profile.jpg,2.2.Stage,UCI.WR.2.Stage,2,32,205,25,?-letusknow!,2.2,ME - Men Elite,https://www.procyclingstats.com/race/tour-of-mersin/2024/stage-2,https://www.worldcyclingstats.com/en/race/tour-of-mersin/2024/stage-2,0,0,0,1,NULL,NULL,2025-01-28 14:27:34.8297820
tour-of-mersin/2024/stage-3,tour-of-mersin/2024/stage-3,stage-3,tour-of-mersin/2024,1,Stage 3 | Tarsus - Ayvagediği,2024-04-06 00:00:00.000,Multi-day race,95,3259,NULL,Finished,https://www.procyclingstats.com/images/profiles/ca/bf/tour-of-mersin-2024-stage-3-profile-n2.png,2.2.Stage,UCI.WR.2.Stage,5,379,205,25,?kmsolo,2.2,ME - Men Elite,https://www.procyclingstats.com/race/tour-of-mersin/2024/stage-3,https://www.worldcyclingstats.com/en/race/tour-of-mersin/2024/stage-3,0,0,0,1,NULL,NULL,2025-01-28 14:27:38.3073120
tour-of-mersin/2024/stage-4,tour-of-mersin/2024/stage-4,stage-4,tour-of-mersin/2024,1,Stage 4 | Mersin - Mersin,2024-04-07 00:00:00.000,Multi-day race,124,33,0,Finished,https://www.procyclingstats.com/images/profiles/ca/cf/tour-of-mersin-2024-stage-4-profile.jpg,2.2.Stage,UCI.WR.2.Stage,1,0,205,25,Sprintoflargegroup,2.2,ME - Men Elite,https://www.procyclingstats.com/race/tour-of-mersin/2024/stage-4,https://www.worldcyclingstats.com/en/race/tour-of-mersin/2024/stage-4,0,1,0,0,NULL,NULL,2025-02-06 19:39:54.6732560
tour-of-mersin/2025,NULL,NULL,NULL,0,Tour of Mersin,NULL,NULL,NULL,NULL,NULL,New,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,1,NULL,NULL,2025-02-06 20:08:31.3016400
tour-of-mersin/2025/stage-1,tour-of-mersin/2025/stage-1,stage-1,tour-of-mersin/2025,0,Stage 1 |  -,2025-04-10 00:00:00.000,NULL,0,NULL,NULL,Planned,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,NULL
