Id,PcsId,StageId,StageRaceId,StageRace,Name,RaceDate,RaceType,Distance,Status,ProfileImageUrl,PointsScale,UciScale,ParcoursType,ProfileScore,RaceRanking,Elevation,StartlistQuality,DecidingMethod,Classification,Category,PcsUrl,WcsUrl,PointsRetrieved,GameOrganized,Updated
tour-colombia-21/2024/stage-1,colombia-21/2025/stage-1,,,False,Stage 1 |  -,,,0.0,New,,,,,,,,,,,,,,,,2025-01-20 11:32:38.884920
tour-colombia-21/2024/stage-2,colombia-21/2025/stage-2,,,False,Stage 2 |  -,,,0.0,New,,,,,,,,,,,,,,,,2025-01-20 11:32:38.899195
tour-colombia-21/2024/stage-3,colombia-21/2025/stage-3,,,False,Stage 3 |  -,,,0.0,New,,,,,,,,,,,,,,,,2025-01-20 11:32:38.907946
tour-colombia-21/2024/stage-4,colombia-21/2025/stage-4,,,False,Stage 4 |  -,,,0.0,New,,,,,,,,,,,,,,,,2025-01-20 11:32:38.917419
tour-colombia-21/2024/stage-5,colombia-21/2025/stage-5,,,False,Stage 5 |  -,,,0.0,New,,,,,,,,,,,,,,,,2025-01-20 11:32:38.927273
tour-colombia-21/2024/stage-6,colombia-21/2025/stage-6,,,False,Stage 6 |  -,,,0.0,New,,,,,,,,,,,,,,,,2025-01-20 11:32:38.935838
tour-cycliste-feminin-international-de-lardeche/2022,,,,False,Tour Cycliste Féminin International de l'Ardè..,,,,NotFound,,,,,,,,,,,,,,,,
tour-cycliste-feminin-international-de-lardeche/2023,,,,False,Tour Cycliste Féminin International de l'Ardè..,,,,New,,,,,,,,,,,,,,,,2025-01-20 12:57:12.756737
tour-cycliste-feminin-international-de-lardeche/2024,,,,False,Tour Cycliste Féminin International de l'Ardè..,,,,NotFound,,,,,,,,,,,,,,,,
tour-cycliste-feminin-international-de-lardeche/2025,,,,False,Tour Cycliste Féminin International de l'Ardè..,,,,NotFound,,,,,,,,,,,,,,,,2025-01-20 07:37:18.619905
tour-cycliste-international-de-la-guadeloupe/2022,,,,True,Tour Cycliste International de la Guadeloupe,,,,WaitingForStartList,,,,,,,,,,,,,,,,
tour-cycliste-international-de-la-guadeloupe/2022/stage-1,tour-cycliste-international-de-la-guadeloupe/2022/stage-1,,,True,Tour Cycliste International de la Guadeloupe,2022-08-05,Multi-day race,9.0,WaitingForResults,https://www.procyclingstats.com//images/profiles/ca/ac/tour-cycliste-international-de-la-guadeloupe-2022-stage-1-profile.jpg,2.2.Stage,UCI.WR.2.Stage,1.0,1.0,337.0,81.0,7.0,,2.2,ME - Men Elite,https://www.procyclingstats.com//race/tour-cycliste-international-de-la-guadeloupe/2022/stage-1,https://www.worldcyclingstats.com/en/race/tour-cycliste-international-de-la-guadeloupe/2022/stage-1,,,2025-01-20 13:55:29.664060
